Benchmarks	system.cpu.cpi
spec_results_1GHz-256kB-4-256kB-4-4096kB-16-64/specbzip	1.532033
spec_results_1GHz-128kB-1-64kB-1-1024kB-2-64/specbzip	1.646196
spec_results_1GHz-128kB-1-128kB-1-2048kB-2-64/specbzip	1.590561
spec_results_1GHz-128kB-8-64kB-8-1024kB-16-64/specbzip	1.604483
spec_results_1GHz-128kB-16-64kB-16-1024kB-32-64/specbzip	1.600494
spec_results_1GHz-64kB-2-32kB-2-512kB-8-64/specbzip	1.682240
spec_results_1GHz-32kB-2-32kB-2-1024kB-8-64/specbzip	1.654357
spec_results_1GHz-256kB-4-256kB-4-4096kB-16-64/specmcf	1.116414
spec_results_1GHz-128kB-1-64kB-1-1024kB-2-64/specmcf	1.125025
spec_results_1GHz-128kB-1-128kB-1-2048kB-2-64/specmcf	1.119812
spec_results_1GHz-128kB-8-64kB-8-1024kB-16-64/specmcf	1.120200
spec_results_1GHz-128kB-16-64kB-16-1024kB-32-64/specmcf	1.120110
spec_results_1GHz-64kB-2-32kB-2-512kB-8-64/specmcf	1.125855
spec_results_1GHz-32kB-2-32kB-2-1024kB-8-64/specmcf	1.237188
spec_results_1GHz-256kB-4-256kB-4-4096kB-16-64/spechmmer	1.181051
spec_results_1GHz-128kB-1-64kB-1-1024kB-2-64/spechmmer	1.206494
spec_results_1GHz-128kB-1-128kB-1-2048kB-2-64/spechmmer	1.187939
spec_results_1GHz-128kB-8-64kB-8-1024kB-16-64/spechmmer	1.184382
spec_results_1GHz-128kB-16-64kB-16-1024kB-32-64/spechmmer	1.184483
spec_results_1GHz-64kB-2-32kB-2-512kB-8-64/spechmmer	1.186644
spec_results_1GHz-32kB-2-32kB-2-1024kB-8-64/spechmmer	1.186849
spec_results_1GHz-256kB-4-256kB-4-4096kB-16-64/speclibm	2.620203
spec_results_1GHz-128kB-1-64kB-1-1024kB-2-64/speclibm	2.638806
spec_results_1GHz-128kB-1-128kB-1-2048kB-2-64/speclibm	2.633716
spec_results_1GHz-128kB-8-64kB-8-1024kB-16-64/speclibm	2.623650
spec_results_1GHz-128kB-16-64kB-16-1024kB-32-64/speclibm	2.623650
spec_results_1GHz-64kB-2-32kB-2-512kB-8-64/speclibm	2.624291
spec_results_1GHz-32kB-2-32kB-2-1024kB-8-64/speclibm	2.623706
spec_results_1GHz-256kB-4-256kB-4-4096kB-16-64/specsjeng	7.053163
spec_results_1GHz-128kB-1-64kB-1-1024kB-2-64/specsjeng	7.055407
spec_results_1GHz-128kB-1-128kB-1-2048kB-2-64/specsjeng	7.054252
spec_results_1GHz-128kB-8-64kB-8-1024kB-16-64/specsjeng	7.054596
spec_results_1GHz-128kB-16-64kB-16-1024kB-32-64/specsjeng	7.054354
spec_results_1GHz-64kB-2-32kB-2-512kB-8-64/specsjeng	7.055188
spec_results_1GHz-32kB-2-32kB-2-1024kB-8-64/specsjeng	7.055325
